Year_Month,Rating,Sentiment_Score
2010-03-01,4.5,0.257
2010-04-01,5.0,0.162
2010-05-01,3.25,0.279
2010-06-01,4.25,0.268
2010-07-01,4.143,0.211
2010-08-01,4.286,0.232
2010-09-01,4.2,0.172
2010-10-01,4.667,0.215
2010-11-01,4.37,0.218
2010-12-01,3.893,0.167
2011-01-01,4.357,0.188
2011-02-01,3.867,0.215
2011-03-01,4.011,0.216
2011-04-01,3.94,0.176
2011-05-01,4.313,0.208
2011-06-01,4.109,0.216
2011-07-01,4.018,0.194
2011-08-01,4.03,0.188
2011-09-01,4.293,0.234
2011-10-01,4.328,0.223
2011-11-01,4.362,0.248
2011-12-01,4.323,0.235
2012-01-01,4.32,0.225
2012-02-01,4.331,0.218
2012-03-01,4.351,0.225
2012-04-01,4.391,0.237
2012-05-01,4.401,0.242
2012-06-01,4.245,0.214
2012-07-01,4.217,0.211
2012-08-01,3.93,0.183
2012-09-01,4.397,0.221
2012-10-01,4.365,0.228
2012-11-01,4.323,0.224
2012-12-01,4.293,0.213
2013-01-01,4.329,0.229
2013-02-01,4.236,0.2
2013-03-01,4.272,0.192
2013-04-01,4.241,0.208
2013-05-01,4.278,0.21
2013-06-01,4.24,0.201
2013-07-01,4.217,0.228
2013-08-01,3.983,0.196
2013-09-01,4.378,0.214
2013-10-01,4.239,0.205
2013-11-01,4.221,0.228
2013-12-01,4.177,0.211
2014-01-01,4.223,0.214
2014-02-01,4.254,0.196
2014-03-01,4.221,0.198
2014-04-01,4.084,0.203
2014-05-01,4.118,0.197
2014-06-01,4.247,0.211
2014-07-01,4.276,0.223
2014-08-01,4.154,0.211
2014-09-01,4.488,0.242
2014-10-01,4.289,0.22
2014-11-01,4.311,0.23
2014-12-01,4.214,0.22
2015-01-01,4.337,0.223
2015-02-01,4.213,0.206
2015-03-01,4.227,0.209
2015-04-01,4.286,0.212
2015-05-01,4.264,0.217
2015-06-01,4.211,0.205
2015-07-01,4.187,0.211
2015-08-01,4.2,0.193
2015-09-01,4.361,0.229
2015-10-01,4.169,0.21
2015-11-01,4.425,0.226
2015-12-01,4.311,0.223
2016-01-01,4.352,0.218
2016-02-01,4.126,0.198
2016-03-01,4.267,0.207
2016-04-01,4.157,0.199
2016-05-01,4.163,0.207
2016-06-01,4.101,0.2
2016-07-01,4.253,0.204
2016-08-01,4.21,0.198
2016-09-01,4.401,0.223
2016-10-01,4.244,0.216
2016-11-01,4.402,0.226
2016-12-01,4.2,0.201
2017-01-01,4.301,0.216
2017-02-01,4.189,0.19
2017-03-01,4.148,0.203
2017-04-01,4.19,0.197
2017-05-01,4.264,0.202
2017-06-01,4.221,0.212
2017-07-01,4.263,0.215
2017-08-01,4.223,0.205
2017-09-01,4.214,0.218
2017-10-01,4.266,0.212
2017-11-01,4.259,0.214
2017-12-01,4.305,0.222
2018-01-01,4.238,0.211
2018-02-01,4.177,0.199
2018-03-01,4.16,0.213
2018-04-01,4.22,0.224
2018-05-01,4.167,0.213
2018-06-01,4.141,0.213
2018-07-01,4.138,0.215
2018-08-01,4.038,0.191
2018-09-01,4.242,0.219
2018-10-01,3.991,0.204
2018-11-01,4.15,0.202
2018-12-01,4.034,0.203
2019-01-01,4.152,0.177
2019-02-01,4.231,0.225
2019-03-01,4.014,0.205
2019-04-01,4.071,0.192
2019-05-01,4.0,0.193
