PC,Term,Loading
PC1,place,0.2701844191206975
PC1,disneyland,0.1366020567155351
PC1,love,0.13017778807035427
PC1,earth,0.11813803185119605
PC1,happiest,0.11708137748355069
PC1,place earth,0.1167512193962534
PC1,happiest place,0.11401685061105561
PC1,hong,0.11307390475329611
PC1,kong,0.11245251205112432
PC1,hong kong,0.11140663541196677
PC1,fun,0.09208550444121806
PC1,visit,0.0663396149228283
PC1,great,0.05587843604985293
PC1,family,0.054505276249909404
PC1,magical,0.050061003169861826
PC2,disney,0.49089544516375155
PC2,park,0.2516714649258245
PC2,hong,0.2064477031177485
PC2,kong,0.20456062035567987
PC2,hong kong,0.20247621468795934
PC2,world,0.19626229857529867
PC2,disney world,0.17741467943611186
PC2,parks,0.15613672860175562
PC2,paris,0.15443618656183797
PC2,disneyland,0.12431802892136881
PC2,florida,0.12380851598884211
PC2,small,0.10024215915022429
PC2,smaller,0.08919394511362813
PC2,orlando,0.08258838482950023
PC2,disney park,0.07638821060807456
